T,Mw,Rjb (km),FRV,FNM,ZTOR,?,Vs_30,Z2.5 (km),Ln(Sa)
0.01,5.99,24.82,0,0,14.5,30,445.983055,0.862,4.415278165
0.01,5.99,38.55,0,0,14.5,30,440.54,2.417221,4.004463311
0.01,5.99,36.64,0,0,14.5,30,338.539,4.455,3.813450382
0.01,5.99,37.67,0,0,14.5,30,229.787,3.471,3.773938175
0.01,5.99,33.07,0,0,14.5,30,370.789,1.8,3.644008758
0.01,5.99,47.25,0,0,14.5,30,996.43,2.417221,4.127504478
0.01,5.99,31.13,0,0,14.5,30,308.6450892,2.509,4.008370909
0.01,5.99,6.42,0,0,14.5,30,308.6450892,3.08,5.051757045
0.01,5.99,2.6,0,0,14.5,30,298.68,2.966,5.593255268
0.01,6.22,17.59,0,0,0,90,207.469,2.417221,4.904339274
0.01,6.54,17.03,0,0,0,90,208.71,3.56,4.907302455
0.01,6.54,27,0,0,0,90,205.78,3.4,5.353708482
0.01,6.54,18.2,0,0,0,90,192.05,3.2,5.662411986
0.01,6.54,18.48,0,0,0,90,207.469,3.92,4.783722849
0.01,6.54,0.95,0,0,0,90,348.69,3.08,6.101562851
0.01,6.54,22.24,0,0,0,90,345.419,2.417221,5.043614725
0.01,6.54,11.16,0,0,0,90,207.469,2.417221,5.882832837
0.01,6.54,25.88,0,0,0,90,191.14,2.417221,4.90736772
0.01,6.54,5.61,0,0,0,90,362.38,2.417221,6.676268695
0.01,6.54,13.03,0,0,0,90,193.67,3.32,5.331114855
0.01,6.54,23.85,0,0,0,90,207.469,2.417221,5.244097869
0.01,6.93,41.71,1,0,3.8,70,391.91,1.62,4.534833957
0.01,6.93,43.06,1,0,3.8,70,133.11,1.62,5.497735798
0.01,6.93,52.53,1,0,3.8,70,271.06,1.62,5.105227489
0.01,6.93,52.39,1,0,3.8,70,517.06,1.26,4.310083261
0.01,6.93,41.68,1,0,3.8,70,415.27,1.62,4.758064966
0.01,6.93,40.85,1,0,3.8,70,449.64,1.62,4.714380581
0.01,6.93,24.27,1,0,3.8,70,239.69,1.62,5.02371958
0.01,6.93,70.9,1,0,3.8,70,190,1.62,5.478001799
0.01,6.93,19.9,1,0,3.8,70,488.77,1.62,5.456288609
0.01,6.93,19.9,1,0,3.8,70,488.77,1.62,4.229285422
